Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,66.6,799.2,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,3952.756,47433.07,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (db.m5.12xlarge), Additional backup storage (0 GB)"
My Estimate,US East (N. Virginia),Amazon EC2,0,1744.4,20932.8,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (200 GB), Instance type (r5a.4xlarge)"
My Estimate,US East (N. Virginia),Amazon Route 53,0,52.5,630,USD,Hosted Zones (1)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,28.11,337.32,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),S3 Standard,0,0.53,6.36,USD,S3 Standard storage (10 GB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,92.07,1104.84,USD,"Data Transfer, Data transfer cost (92.07)"
,,,,,,,
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
"I modified the EC2 Instance type and the RDS Instance type, and chose instance types with less compute/memory resources.",,,,,,,
